matchno,over no,ing,perballscore,runsbybatsman,extraruns,total run scored,noofwicketsfall,batsman1,batsman1runs,batsman1playedballs,batsman2,batsman2runs,batsman2playedballs,bowler,matchscore
7,1,1st,0 0 1 0 0 1,2,0,2,0,Shikhar Dhawan,1,3,Prithvi Shaw,1,3,Chetan Sakariya,2 - 0
7,2,1st,1 1 0 0 1 W,3,0,3,1,Shikhar Dhawan,3,7,Prithvi Shaw,2,5,Jaydev Unadkat,5 - 1
7,3,1st,4 1 1 1 0 4,11,0,11,0,Shikhar Dhawan,9,10,Ajinkya Rahane,5,3,Chetan Sakariya,16 - 1
7,4,1st,W 0 4 0 0 0,4,0,4,1,Rishabh Pant,4,5,Ajinkya Rahane,5,3,Jaydev Unadkat,20 - 2
7,5,1st,2 1 1 Wd2 4 1 0,9,2,11,0,Rishabh Pant,10,8,Ajinkya Rahane,8,6,Chris Morris,31 - 2
7,6,1st,4 0 1 0 W 0,5,0,5,1,Rishabh Pant,15,11,Marcus Stoinis,0,1,Jaydev Unadkat,36 - 3
7,7,1st,1 0 0 0 W 0,1,0,1,1,Rishabh Pant,16,12,Lalit Yadav,0,1,Mustafizur Rahman,37 - 4
7,8,1st,1 4 0 4 0 0,9,0,9,0,Rishabh Pant,17,13,Lalit Yadav,8,6,Chris Morris,46 - 4
7,9,1st,4 Wd 0 1 1 0 1,7,1,8,0,Rishabh Pant,23,18,Lalit Yadav,9,7,Riyan Parag,54 - 4
7,10,1st,1 0 0 0 1 1,3,0,3,0,Rishabh Pant,25,20,Lalit Yadav,10,11,Jaydev Unadkat,57 - 4
7,11,1st,4 4 4 2 2 4,20,0,20,0,Rishabh Pant,45,26,Lalit Yadav,10,11,Rahul Tewatia,77 - 4
7,12,1st,1 0 1 Wd 1 0 4,7,1,8,0,Rishabh Pant,50,30,Lalit Yadav,12,13,Mustafizur Rahman,85 - 4
7,13,1st,1 1 1 W 4 1,8,0,8,1,Tom Curran,0,0,Lalit Yadav,19,17,Riyan Parag,93 - 5
7,14,1st,0 0 0 1 1 0,2,0,2,0,Tom Curran,1,1,Lalit Yadav,20,22,Rahul Tewatia,95 - 5
7,15,1st,0 4 1 0 W 2,7,0,7,1,Tom Curran,8,5,Chris Woakes,0,0,Chris Morris,102 - 6
7,16,1st,1 1 0 0 1 2,5,0,5,0,Tom Curran,11,7,Chris Woakes,2,4,Rahul Tewatia,107 - 6
7,17,1st,4 1 0 2 0 1,8,0,8,0,Tom Curran,14,11,Chris Woakes,7,6,Mustafizur Rahman,115 - 6
7,18,1st,1 4 1 1 1 1,9,0,9,0,Tom Curran,17,14,Chris Woakes,13,9,Chetan Sakariya,124 - 6
7,19,1st,4 W 4 0 2 Wd W1,12,0,12,2,Ravichandran Ashwin,7,4,Chris Woakes,13,9,Mustafizur Rahman,136 - 8
7,20,1st,1 1 1 2 4 2,11,0,11,0,Kagiso Rabada,9,4,Chris Woakes,15,11,Chetan Sakariya,147 - 8
7,1,2nd,0 0 1 0 1 L1,2,1,3,0,Jos Buttler,1,4,Manan Vohra,1,2,Chris Woakes,3 - 0
7,2,2nd,1 0 0 0 0 L1,1,1,2,0,Jos Buttler,2,5,Manan Vohra,1,7,Avesh Khan,5 - 0
7,3,2nd,0 4 4 W 0 W,8,0,8,2,Jos Buttler,2,7,Sanju Samson,0,0,Chris Woakes,13 - 2
7,4,2nd,4 0 W 1 0 0,5,0,5,1,Shivam Dube,0,2,David Miller,1,1,Kagiso Rabada,18 - 3
7,5,2nd,1 0 1 0 0 1,3,0,3,0,Shivam Dube,1,4,David Miller,3,5,Chris Woakes,21 - 3
7,6,2nd,0 4 0 0 0 1,5,0,5,0,Shivam Dube,1,4,David Miller,8,11,Kagiso Rabada,26 - 3
7,7,2nd,0 0 1 1 2 1,5,0,5,0,Shivam Dube,2,5,David Miller,12,16,Ravichandran Ashwin,31 - 3
7,8,2nd,4 1 0 W 0 0,5,0,5,1,Riyan Parag,0,2,David Miller,17,18,Avesh Khan,36 - 4
7,9,2nd,1 1 0 1 1 1,5,0,5,0,Riyan Parag,2,4,David Miller,20,22,Ravichandran Ashwin,41 - 4
7,10,2nd,1 W 1 4 4 1,11,0,11,1,Rahul Tewatia,1,1,David Miller,30,26,Avesh Khan,52 - 5
7,11,2nd,1 1 0 0 1 1,4,0,4,0,Rahul Tewatia,3,3,David Miller,32,30,Ravichandran Ashwin,56 - 5
7,12,2nd,Wd 0 0 0 0 1 0,1,1,2,0,Rahul Tewatia,4,8,David Miller,32,31,Tom Curran,58 - 5
7,13,2nd,1 4 4 4 1 1,15,0,15,0,Rahul Tewatia,6,10,David Miller,45,35,Marcus Stoinis,73 - 5
7,14,2nd,1 1 4 1 1 4,12,0,12,0,Rahul Tewatia,16,14,David Miller,47,37,Tom Curran,85 - 5
7,15,2nd,1 2 1 1 W 0,5,0,5,1,Chris Morris,0,1,David Miller,49,39,Kagiso Rabada,90 - 6
7,16,2nd,1 1 6 6 W 1,15,0,15,1,Chris Morris,2,3,Jaydev Unadkat,0,0,Avesh Khan,105 - 7
7,17,2nd,1 0 6 0 1 1,9,0,9,0,Chris Morris,4,5,Jaydev Unadkat,7,4,Chris Woakes,114 - 7
7,18,2nd,1 1 1 2 1 1,7,0,7,0,Chris Morris,7,8,Jaydev Unadkat,11,7,Tom Curran,121 - 7
7,19,2nd,6 0 0 2 6 1,15,0,15,0,Chris Morris,22,14,Jaydev Unadkat,11,7,Kagiso Rabada,136 - 7
7,20,2nd,6 2 0 6,14,0,14,0,Chris Morris,36,18,Jaydev Unadkat,11,7,Tom Curran,150 - 7
